produto;marca_raw;estado;familia_v2;sku_v2;confianca;metodo;motivo;candidatos;atributos
Ar Condicionado Agratto One Top 18.000 BTUs On/Off Quente/Frio;Agratto;MAPEADO;AGRATTO-18000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto 24.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Fit Top 24.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Neo 24.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Zen Top 24.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Inverter Frio 24000 btus Split Zen Top Agratto 220V;Agratto;MAPEADO;AGRATTO-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": ""220V"", ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": null}"
Ar Condicionado Split Agratto Neo Inverter 24.000btus/h Frio Monofásico Branco Ics24f-02-220v;Agratto;MAPEADO;AGRATTO-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": ""ICS24F-02-220V""}"
Ar Condicionado Agratto 24.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-24000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Neo 24.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-24000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto 30.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-30000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 30000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto 30.000 BTUs On/Off Frio;Agratto;MAPEADO;AGRATTO-30000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 30000, ""ciclo"": ""Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Fit Top 30.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-30000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 30000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Liv Top 30.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-30000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 30000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Neo 30.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-30000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 30000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Zen Top 30.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-30000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 30000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto 9.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Fit Top 9.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Fit Top 9.000 BTUs On/Off Frio;Agratto;MAPEADO;AGRATTO-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Neo 9.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto One Top 9.000 BTUs On/Off Frio;Agratto;MAPEADO;AGRATTO-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Zen Top 9.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto 9.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-9000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Neo 9.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-9000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Zen Top 9.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-9000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Inverter Quente e Frio 9000 btus Split Zen ZICST9QF02 Agratto 220V;Agratto;MAPEADO;AGRATTO-9000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": ""220V"", ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Fit Top 12.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-FIT-TOP-12000-F;FACST12F-02;alta;familia_linha_unica;1 SKU na família-linha;FACST12F-02;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Fit Top 12.000 BTUs On/Off Frio;Agratto;MAPEADO;AGRATTO-FIT-TOP-12000-F;;baixa;tec_conflito;"título On/Off; catálogo curado é inverter-only";FACST12F-02;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Liv Top 12.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-LIV-TOP-12000-F;LCST12F;alta;familia_linha_unica;1 SKU na família-linha;LCST12F;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Liv Top 12.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-LIV-TOP-12000-QF;LCST12QF;alta;familia_linha_unica;1 SKU na família-linha;LCST12QF;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Liv Top 18.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-LIV-TOP-18000-F;LCST18F-02I;alta;familia_linha_unica;1 SKU na família-linha;LCST18F-02I;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Split Agratto Hi Wall Liv Top Inverter 18.000 BTU/h Frio Monofásico Branco LCST18F-02I - 220V;Agratto;MAPEADO;AGRATTO-LIV-TOP-18000-F;LCST18F-02I;alta;familia_linha_unica;1 SKU na família-linha;LCST18F-02I;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": ""220V"", ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Liv Top 18.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-LIV-TOP-18000-QF;LCST18QF;alta;familia_linha_unica;1 SKU na família-linha;LCST18QF;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Inverter Quente e Frio 18000 btus Split Liv Top Agratto 220V;Agratto;MAPEADO;AGRATTO-LIV-TOP-18000-QF;LCST18QF;alta;familia_linha_unica;1 SKU na família-linha;LCST18QF;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": ""220V"", ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Liv Top 24.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-LIV-TOP-24000-F;LCST24F;alta;familia_linha_unica;1 SKU na família-linha;LCST24F;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Liv Top 24.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-LIV-TOP-24000-QF;LCST24QF;alta;familia_linha_unica;1 SKU na família-linha;LCST24QF;"{""marca"": null, ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Liv Top 9.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-LIV-TOP-9000-F;LCST9F;alta;familia_linha_unica;1 SKU na família-linha;LCST9F;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Liv Top 9.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-LIV-TOP-9000-QF;LCST9QF;alta;familia_linha_unica;1 SKU na família-linha;LCST9QF;"{""marca"": null, ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux 12.000 BTUs Inverter Frio;Electrolux;MAPEADO;ELECTROLUX-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux 12.000 BTUs Inverter Quente/Frio;Electrolux;MAPEADO;ELECTROLUX-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux Color Adapt 12.000 BTUs Inverter Quente/Frio;Electrolux;MAPEADO;ELECTROLUX-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux Quente E Frio 12.000btus 220v;Electrolux;MAPEADO;ELECTROLUX-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": null, ""edicao"": null, ""voltagem"": ""220V"", ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Inverter Electrolux 12000 BTUs Quente e Frio Color Adapt WiFi Split - YI12R YE12R;Electrolux;MAPEADO;ELECTROLUX-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux 18.000 BTUs Inverter Frio;Electrolux;MAPEADO;ELECTROLUX-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux Color Adapt 23.000 BTUs Inverter Frio;Electrolux;MAPEADO;ELECTROLUX-23000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": null, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux Color Adapt 23.000 BTUs On/Off Frio;Electrolux;MAPEADO;ELECTROLUX-23000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": null, ""ciclo"": ""Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux 24.000 BTUs Inverter Frio;Electrolux;MAPEADO;ELECTROLUX-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux 24.000 BTUs Inverter Quente/Frio;Electrolux;MAPEADO;ELECTROLUX-24000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux 9.000 BTUs Inverter Frio;Electrolux;MAPEADO;ELECTROLUX-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux 9.000 BTUs Inverter Quente/Frio;Electrolux;MAPEADO;ELECTROLUX-9000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Electrolux"", ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Electrolux Color Adapt 12.000 BTUs Inverter Frio;Electrolux;MAPEADO;ELECTROLUX-COLOR-ADAPT-12000-F;UI12F;alta;familia_linha_unica;1 SKU na família-linha;UI12F;"{""marca"": ""Electrolux"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
